Horodate,Valeur
2021-12-31 00:30:00+01:00,222
2021-12-31 01:00:00+01:00,204
2021-12-31 01:30:00+01:00,160
2021-12-31 02:00:00+01:00,232
2021-12-31 02:30:00+01:00,202
2021-12-31 03:00:00+01:00,158
2021-12-31 03:30:00+01:00,222
2021-12-31 04:00:00+01:00,188
2021-12-31 04:30:00+01:00,112
2021-12-31 05:00:00+01:00,150
2021-12-31 05:30:00+01:00,550
2021-12-31 06:00:00+01:00,298
2021-12-31 06:30:00+01:00,224
2021-12-31 07:00:00+01:00,330
2021-12-31 07:30:00+01:00,208
2021-12-31 08:00:00+01:00,238
2021-12-31 08:30:00+01:00,380
2021-12-31 09:00:00+01:00,672
2021-12-31 09:30:00+01:00,404
2021-12-31 10:00:00+01:00,346
2021-12-31 10:30:00+01:00,390
2021-12-31 11:00:00+01:00,1002
2021-12-31 11:30:00+01:00,1408
2021-12-31 12:00:00+01:00,908
2021-12-31 12:30:00+01:00,668
2021-12-31 13:00:00+01:00,1190
2021-12-31 13:30:00+01:00,306
2021-12-31 14:00:00+01:00,1416
2021-12-31 14:30:00+01:00,242
2021-12-31 15:00:00+01:00,250
2021-12-31 15:30:00+01:00,248
2021-12-31 16:00:00+01:00,248
2021-12-31 16:30:00+01:00,342
2021-12-31 17:00:00+01:00,350
2021-12-31 17:30:00+01:00,396
2021-12-31 18:00:00+01:00,260
2021-12-31 18:30:00+01:00,224
2021-12-31 19:00:00+01:00,226
2021-12-31 19:30:00+01:00,186
2021-12-31 20:00:00+01:00,158
2021-12-31 20:30:00+01:00,212
2021-12-31 21:00:00+01:00,212
2021-12-31 21:30:00+01:00,172
2021-12-31 22:00:00+01:00,160
2021-12-31 22:30:00+01:00,114
2021-12-31 23:00:00+01:00,172
2021-12-31 23:30:00+01:00,158
2022-01-01 00:00:00+01:00,108
2022-01-01 00:30:00+01:00,154
2022-01-01 01:00:00+01:00,164
2022-01-01 01:30:00+01:00,152
2022-01-01 02:00:00+01:00,230
2022-01-01 02:30:00+01:00,218
2022-01-01 03:00:00+01:00,266
2022-01-01 03:30:00+01:00,348
2022-01-01 04:00:00+01:00,318
2022-01-01 04:30:00+01:00,240
2022-01-01 05:00:00+01:00,288
2022-01-01 05:30:00+01:00,268
2022-01-01 06:00:00+01:00,232
2022-01-01 06:30:00+01:00,304
2022-01-01 07:00:00+01:00,434
2022-01-01 07:30:00+01:00,402
2022-01-01 08:00:00+01:00,304
2022-01-01 08:30:00+01:00,314
2022-01-01 09:00:00+01:00,648
2022-01-01 09:30:00+01:00,322
2022-01-01 10:00:00+01:00,332
2022-01-01 10:30:00+01:00,496
2022-01-01 11:00:00+01:00,1384
2022-01-01 11:30:00+01:00,368
2022-01-01 12:00:00+01:00,1872
2022-01-01 12:30:00+01:00,1098
2022-01-01 13:00:00+01:00,790
2022-01-01 13:30:00+01:00,482
2022-01-01 14:00:00+01:00,390
2022-01-01 14:30:00+01:00,352
2022-01-01 15:00:00+01:00,330
2022-01-01 15:30:00+01:00,236
2022-01-01 16:00:00+01:00,280
2022-01-01 16:30:00+01:00,332
2022-01-01 17:00:00+01:00,334
2022-01-01 17:30:00+01:00,1334
2022-01-01 18:00:00+01:00,824
2022-01-01 18:30:00+01:00,448
2022-01-01 19:00:00+01:00,858
2022-01-01 19:30:00+01:00,632
2022-01-01 20:00:00+01:00,556
2022-01-01 20:30:00+01:00,1558
2022-01-01 21:00:00+01:00,1240
2022-01-01 21:30:00+01:00,518
2022-01-01 22:00:00+01:00,1394
2022-01-01 22:30:00+01:00,436
2022-01-01 23:00:00+01:00,306
2022-01-01 23:30:00+01:00,262
2022-01-02 00:00:00+01:00,244
2022-01-02 00:30:00+01:00,202
2022-01-02 01:00:00+01:00,192
2022-01-02 01:30:00+01:00,204
2022-01-02 02:00:00+01:00,202
2022-01-02 02:30:00+01:00,186
2022-01-02 03:00:00+01:00,196
2022-01-02 03:30:00+01:00,212
2022-01-02 04:00:00+01:00,172
2022-01-02 04:30:00+01:00,196
2022-01-02 05:00:00+01:00,286
2022-01-02 05:30:00+01:00,254
2022-01-02 06:00:00+01:00,330
2022-01-02 06:30:00+01:00,504
2022-01-02 07:00:00+01:00,266
2022-01-02 07:30:00+01:00,210
2022-01-02 08:00:00+01:00,282
